pcf_id,ingram_part,description,vendor_name,vendor_part,customer_price,available_qty,category,subcategory,api_status,mayorista,lista,stock_pcf,stock_raw,nombre_pcf,precio_normal,precio_oferta,ficha_vacia,stock_detail,error,catalog_provider,solotodo_id,pcf_price,min_price,mode_price,mean_price
10716,1004023,TINTA HP 72 130 ML CIAN,Hp,C9371A,91.02,3,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Cartridge-Tintas C9371A Cyan 72,0,0,False,{},,ingram,375345,,783090,,783090
10719,1004026,TINTA HP 72 130 ML GRIS,Hp,C9374A,94.62,2,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Tintas- Cartridge C9374A Gris 72,0,0,False,{},,ingram,375345,,783090,,783090
12886,1682408,CARTUCHO DE TINTA CLI-126 GRIS,Canon,4565B001,9.25,1,Suministros y Medios,Suministros Inyección de Tinta,ok,False,0,0,0,Cartucho de Tinta Original Canon CLI-126 Gris,0,0,False,{},,ingram,259524,,12489,,12489
40840,4083824,CA1100E USB-C Ethernet Adapter,Kensington,K33475WW,16.21,3,Cables,Cables y Adaptadores USB,ok,False,0,0,0,Adaptador USB-C a Ethernet (RJ45),0,0,False,{},,ingram,382321,,20513,,20531
56542,4172367,APC Smart-UPS 1000VA LCD RM 2U 230V with,Apc,SMT1000RMI2UC,689.98,2,Protección Eléctrica y Racks,UPS,ok,False,0,0,0,APC Smart-UPS 1000VA LCD RM 2U 230V with,0,0,False,{},,ingram,116345,,717580,,744843
56101,4342088,MOUSE OPTICO INALAMBRICO WM126,Dell,WM126-BK,13.98,110,Dispositivos de Entrada,Mouse,ok,True,0,0,0,Mouse Inalámbrico WM126 - Negro,0,0,False,{},,ingram,,,,,
56085,4501413,DS-870 ESCANER DE DOCUMENTOS 65 PPM,Epson,B11B250201,602.55,1,Cámaras y Escáners,Escáners para el Hogar/Oficina,ok,True,0,0,0,Escaner Dúplex WorkForce DS-870,0,0,False,{},,ingram,,,,,
33415,4621746,KIT MANTENCION T3170 T5170 F570,Gateway,C13S210057,32.73,8,Suministros y Medios,Suministros para Plotters,ok,True,0,0,0,Tanque de Mantenimiento SCTX170,0,0,False,{},,ingram,,,,,
36563,4792009,TINTA T206320-AL MAGENTA 200 PAG,Epson,T206320-AL,12.48,6,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Cartucho de Tinta Original Epson T206320-AL Magenta,0,0,False,{},,ingram,259575,,,,
40435,5063220,CABEZAL NEGRO BOTELLA TINTA GI-190 NEGRO,Canon,0692C004,32.18,6,Suministros y Medios,Suministros Inyección de Tinta,ok,True,0,0,0,Combo Cabezal Negro + Botella Tinta Negra  (BH-1 + GI-190 BK),0,0,False,{},,ingram,259700,,48560,,48560
54990,5137455,LJ Mngd E40040dn Printer,Hp,3PZ35A,210.43,41,Impresoras,Impresoras Láser/LED color,ok,True,0,0,0,Impresora Láser Blanco y Negro LaserJet Managed E40040dn,0,0,False,{},,ingram,117285,,236900,,243519
